car_units_sold_100s,employee_satisfaction
66.12899431,89.7589535
85.94141606,49.59404554
25.9561811,49.60604578
49.22200467,29.56116669
51.00681056,49.6458971
65.44791301,89.67534074
38.73822319,9.558144126
74.22343432,29.93650751
35.37018534,9.629225734
55.86297597,29.63839416
57.80807418,29.59758141
38.48151392,69.68310071
71.31912595,69.67250963
64.28244141,69.66330395
36.45453295,49.52620718
81.90579733,49.68785773
88.42613344,89.78968098
56.1499215,9.524739286
41.06714839,69.69309107
66.58015827,49.63707073
45.10108701,89.6359196
41.86828157,9.559430098
44.91835981,69.70643702
49.98363364,49.54110073
63.04893908,90.13264019
65.9779487,49.52997441
63.09009863,69.70350495
53.96225554,29.51946243
44.94050373,49.50322648
24.28946391,9.717289798
59.47331142,29.5077376
84.08807649,89.96199808
61.68045081,9.658513682
56.75527266,89.60259785
57.83399712,69.58582183
35.24349724,89.61270835
46.83896158,89.51808929
62.38150466,89.58902946
73.18480655,69.92194758
58.28466859,69.52418362
64.22540239,29.62890999
28.21368571,29.57756837
54.85739492,89.71311204
48.69893516,29.51116737
47.20984162,29.81505056
46.73540337,69.73658963
61.7416128,49.62252154
58.13297083,49.92178774
70.37822956,69.59409996
50.2197898,49.58979957
57.8998879,89.55328258
38.58605013,29.50306757
40.74040613,49.50192068
52.74638994,29.5058936
31.35906447,9.577073337
50.34119705,69.64111979
38.71244901,89.81730055
59.08807922,49.51029359
67.0804009,49.52252083
75.48139862,29.59762825
43.42819679,29.57328021
51.49020894,29.57233637
59.14478558,9.796161239
49.07371704,49.61581246
57.08756073,69.52036645
40.42676717,9.517302773
25.89026782,49.5463965
23.57090928,49.54133265
14.79624283,9.528431412
56.12449676,9.502753161
71.72745921,89.64405231
66.47016969,29.51313732
71.81274431,9.635453321
85.99772014,49.52824724
57.14354296,49.7597901
61.32109628,49.59453538
49.68680924,49.71309014
53.77967098,29.56164225
78.76149872,50.08990812
71.76723214,29.53214912
29.36439594,49.53017729
44.54405208,29.66128165
57.26452941,9.505582416
56.53111921,29.59822318
63.51868644,49.66155692
56.60240445,49.58980729
48.66087608,69.5392108
42.33890388,29.71913817
70.07084005,49.53717658
50.35396588,9.616598997
49.72544885,49.76917589
49.67137249,9.51141091
28.73663257,9.621686769
54.41649441,29.6933756
63.88767463,29.56059326
61.00899596,9.564086584
38.35112393,9.505175097
53.2788276,29.58002785
42.75395458,69.54482953
51.40683464,49.51273075
29.13530977,29.64761133
50.70585805,49.59009843
73.71928016,89.62503074
42.39141993,9.51085242
64.23809948,49.66728298
75.46582317,89.57011735
43.53555116,69.80226283
56.64552845,9.567956366
64.88178278,49.5223607
53.1826376,49.57929061
49.00193437,9.513141471
66.17699212,69.86772922
64.68963408,89.88047688
34.0161641,49.59231317
71.49125679,89.77952081
37.8276396,69.77714063
64.18619956,49.49960521
58.25094008,29.50536289
45.98149618,29.80266035
41.45948605,9.515108146
44.51877686,49.54125471
36.1830557,49.56559047
52.37949982,49.64275699
31.97928795,29.50988602
41.73239647,49.98854802
83.5505484,49.74334659
51.04664391,29.63481736
35.2208281,49.82462769
56.10781548,29.58970141
52.30503566,49.58602954
65.18296631,69.53564974
71.74991695,69.5816407
73.35339055,89.72808347
39.02571991,69.79250416
50.95180608,9.567577504
56.18507952,29.72729175
55.70472792,49.69972571
50.67896727,9.681876189
33.40316582,29.56626536
67.48207718,69.6257273
69.52494965,49.74183021
61.44654917,89.92993871
70.25959415,49.54100373
49.82529288,29.51192967
58.65613964,49.5078192
63.6535736,89.91179085
89.51992165,69.62136891
59.26024031,29.59254108
54.6140799,89.51901854
31.36094997,9.558280871
58.36563366,29.70094676
24.0248866,9.501776681
50.07455097,69.89485348
11.19785123,29.60613934
54.52630176,69.79957118
55.29262953,29.8720062
43.16717271,69.81345841
65.92356732,49.53141463
36.51013997,69.57175534
53.0336708,69.59542631
37.72923047,49.52209286
48.04772931,49.61564258
69.54994628,89.91046111
55.29464057,9.652808908
77.92091502,69.65631696
62.35386099,49.72418004
41.76357278,29.52571626
67.4640887,49.51865096
52.57128265,49.59935348
80.81465504,49.62736221
55.00003829,69.56936607
64.71738806,49.59187797
49.24300049,49.51343903
56.48312696,69.57102486
55.43410359,69.63410566
58.42944456,49.57994124
50.97267604,90.44841433
63.79858623,69.56193081
55.71577838,29.50220354
63.84751606,29.53477221
38.22337332,49.85363862
42.64920406,29.50793049
