car_units_sold_100s,employee_satisfaction
67.58742598,83.54052892
84.13186439,46.80089029
29.5282922,38.81290626
49.19044757,20.53247729
51.33354918,47.74576761
57.41646065,94.23039006
38.53685342,8.950569732
70.8672743,27.91676749
42.44130447,5.716576759
57.9837156,40.63523399
42.44412929,25.77678554
37.59730257,60.26277768
75.06740547,77.32098619
64.69128543,65.59172856
46.65940282,51.33019258
90.92691548,61.37264898
71.55065998,81.22144583
62.02029548,5.623047234
44.87723918,52.59627699
74.96214116,53.79930029
38.98671393,89.08718262
41.04200614,6.543607929
48.93314649,49.98168116
47.18989163,50.70977184
55.96456199,75.37232603
51.82866698,48.21826442
57.6399273,70.73806761
57.42478272,42.63523434
53.4779578,45.54759166
30.53802237,17.09455034
67.40989644,34.22007935
73.50806622,79.20998555
50.63084919,18.32571359
46.85998503,83.28406834
59.80751966,72.2203687
38.02678433,93.54333496
34.05159287,95.87699364
58.08454387,91.38482742
74.32341019,77.75089157
67.00828073,62.61851774
55.77787047,42.19464646
34.35801231,35.21430643
66.49560446,84.42950533
43.49208608,25.72437257
38.53713966,30.68501
58.94032015,70.1319603
62.52278464,37.09547027
48.23400879,51.00000648
79.04154169,70.09913718
55.46143093,43.02427089
60.901662,91.69611601
41.18414039,30.53683417
46.55063495,51.8106652
67.95613858,33.05356505
33.7380889,14.38837408
48.90324212,80.2105037
42.13445872,89.99259869
63.86495685,63.62364594
61.79956041,36.6268201
70.54522326,28.37833936
38.06715877,30.28211258
51.58079432,15.62770873
61.47698762,5.774537454
61.2813588,37.70211111
61.91944202,65.27701594
35.40988734,11.76296381
28.30124694,39.23607026
25.40833623,46.12313152
24.64232947,23.83288093
55.07935048,16.48316665
64.8412005,87.77494506
66.61623135,31.2278707
62.15278376,5.629223809
79.43377055,48.6863451
57.50997925,43.28298462
63.55911494,39.09344102
48.92867515,51.75570575
50.84754043,17.19693817
71.86399592,59.44682311
65.84331044,31.41695582
32.68040468,34.57508705
35.67616741,31.79949039
66.67937783,2.941061414
59.13729906,42.22228033
45.99208923,53.1092863
59.79186086,38.38559162
52.85930831,79.60255412
40.36669023,27.02178189
83.63722114,47.47679004
46.86059049,0.469738229
48.01269472,52.56509982
60.90239687,7.025862953
33.43041308,14.93752966
48.13058039,21.170622
63.13769881,35.09218095
67.6330382,3.62375832
48.39590596,0.483669844
63.93362598,33.99801938
29.60759142,68.67142684
51.44599737,48.08963215
26.179579,26.17331245
51.16998425,49.45777219
65.23863377,85.38607313
38.25290453,10.19709413
75.7054911,55.94784192
69.14955848,83.17730884
40.99082237,58.59536717
54.73699587,15.9899901
70.84365844,61.0800007
46.0848469,54.24164806
55.02426728,13.79978259
70.83285441,59.45791575
61.43593366,90.62933732
32.91264621,35.02734517
70.19450589,82.53970046
55.59710345,76.82626499
46.40340312,52.50618106
61.70693547,39.34275351
40.03346828,31.20625918
36.63674546,12.94975974
54.55486221,46.54112397
30.29590371,40.35334515
44.64679165,52.91677188
33.09557304,15.25001478
48.65580941,50.96245238
93.87668664,58.15514072
47.691619,19.85308688
34.74393176,63.23913901
55.73841093,44.00645119
61.63299213,66.20071096
73.87604446,78.64994512
64.06501074,67.54319904
68.61865748,83.14507872
33.742021,68.17616187
46.07378789,22.70217661
45.78206276,22.52548318
55.30032375,44.8267045
50.93864039,17.70515206
33.14266586,37.28204459
73.61248566,76.79970035
75.96611159,56.10660451
43.96809673,83.69256757
66.39024272,65.4974406
48.34782455,20.16472391
47.61995989,53.43901924
57.35081844,95.32280186
81.80387564,68.11652335
55.6222036,42.76668208
56.20522547,93.07320281
35.77073566,11.84454137
55.61577961,46.63985811
33.55449714,16.39171022
53.56706415,75.03948353
13.54451674,35.01316118
63.44996,68.25282906
46.62134687,23.02722348
34.4301114,63.32083136
59.90114703,38.41038402
43.96960051,57.27512804
60.46526759,70.85835904
48.2802164,53.82105055
45.64268605,54.01921024
68.43379804,83.98710298
48.07876047,19.85867588
71.53244087,78.12262156
66.37125702,65.25916825
35.69899576,31.47935586
61.8813203,38.69790879
54.76388519,43.34091453
81.07737135,48.99120032
66.28878493,65.51601584
60.68776873,37.23577739
51.88622427,46.68270691
72.01247115,80.43038709
49.40856106,81.06499344
61.40134584,39.86343275
56.05336604,96.25052162
81.42106611,71.1417288
47.19948437,20.50576223
65.8682367,36.75175395
45.74344446,54.18900432
33.43438175,35.91949598
